table,seq,column,is_pk,is_fk,type,ui1,size,description,id
p34g,17,p034g015,,,INTEGER,,,Not living alone,d4d0RJ0W00h
p34g,18,p034g016,,,INTEGER,,,Female householder:,d4d0RJ0W00i
p34g,19,p034g017,,,INTEGER,,,Living alone,d4d0RJ0W00j
p34g,20,p034g018,,,INTEGER,,,Not living alone,d4d0RJ0W00k
p34g,21,p034g019,,,INTEGER,,,Nonrelatives,d4d0RJ0W00l
p34g,22,p034g020,,,INTEGER,,,In group quarters:,d4d0RJ0W00m
p34g,23,p034g021,,,INTEGER,,,Institutionalized population,d4d0RJ0W00n
p34g,24,p034g022,,,INTEGER,,,Noninstitutionalized population,d4d0RJ0W00o
,,,,,,,,,
p34h,1,id,1,,INTEGER64,,6,,d4d0RJ0X001
p34h,2,geoid,,,VARCHAR,1,,,d4d0RJ0X002
p34h,3,p034h001,,,INTEGER,,,Total:,d4d0RJ0X003
p34h,4,p034h002,,,INTEGER,,,In households:,d4d0RJ0X004
p34h,5,p034h003,,,INTEGER,,,In family households:,d4d0RJ0X005
p34h,6,p034h004,,,INTEGER,,,Householder:,d4d0RJ0X006
p34h,7,p034h005,,,INTEGER,,,Male,d4d0RJ0X007
p34h,8,p034h006,,,INTEGER,,,Female,d4d0RJ0X008
p34h,9,p034h007,,,INTEGER,,,Spouse,d4d0RJ0X009
p34h,10,p034h008,,,INTEGER,,,Parent,d4d0RJ0X00a
p34h,11,p034h009,,,INTEGER,,,Parent-in-law,d4d0RJ0X00b
p34h,12,p034h010,,,INTEGER,,,Other relatives,d4d0RJ0X00c
p34h,13,p034h011,,,INTEGER,,,Nonrelatives,d4d0RJ0X00d
p34h,14,p034h012,,,INTEGER,,,In nonfamily households:,d4d0RJ0X00e
p34h,15,p034h013,,,INTEGER,,,Male householder:,d4d0RJ0X00f
p34h,16,p034h014,,,INTEGER,,,Living alone,d4d0RJ0X00g
p34h,17,p034h015,,,INTEGER,,,Not living alone,d4d0RJ0X00h
p34h,18,p034h016,,,INTEGER,,,Female householder:,d4d0RJ0X00i
p34h,19,p034h017,,,INTEGER,,,Living alone,d4d0RJ0X00j
p34h,20,p034h018,,,INTEGER,,,Not living alone,d4d0RJ0X00k
p34h,21,p034h019,,,INTEGER,,,Nonrelatives,d4d0RJ0X00l
p34h,22,p034h020,,,INTEGER,,,In group quarters:,d4d0RJ0X00m
p34h,23,p034h021,,,INTEGER,,,Institutionalized population,d4d0RJ0X00n
p34h,24,p034h022,,,INTEGER,,,Noninstitutionalized population,d4d0RJ0X00o
,,,,,,,,,
p34i,1,id,1,,INTEGER64,,6,,d4d0RJ0Y001
p34i,2,geoid,,,VARCHAR,1,,,d4d0RJ0Y002
p34i,3,p034i001,,,INTEGER,,,Total:,d4d0RJ0Y003
p34i,4,p034i002,,,INTEGER,,,In households:,d4d0RJ0Y004
p34i,5,p034i003,,,INTEGER,,,In family households:,d4d0RJ0Y005
p34i,6,p034i004,,,INTEGER,,,Householder:,d4d0RJ0Y006
p34i,7,p034i005,,,INTEGER,,,Male,d4d0RJ0Y007
p34i,8,p034i006,,,INTEGER,,,Female,d4d0RJ0Y008
p34i,9,p034i007,,,INTEGER,,,Spouse,d4d0RJ0Y009
p34i,10,p034i008,,,INTEGER,,,Parent,d4d0RJ0Y00a
p34i,11,p034i009,,,INTEGER,,,Parent-in-law,d4d0RJ0Y00b
p34i,12,p034i010,,,INTEGER,,,Other relatives,d4d0RJ0Y00c
p34i,13,p034i011,,,INTEGER,,,Nonrelatives,d4d0RJ0Y00d
p34i,14,p034i012,,,INTEGER,,,In nonfamily households:,d4d0RJ0Y00e
p34i,15,p034i013,,,INTEGER,,,Male householder:,d4d0RJ0Y00f
p34i,16,p034i014,,,INTEGER,,,Living alone,d4d0RJ0Y00g
p34i,17,p034i015,,,INTEGER,,,Not living alone,d4d0RJ0Y00h
p34i,18,p034i016,,,INTEGER,,,Female householder:,d4d0RJ0Y00i
p34i,19,p034i017,,,INTEGER,,,Living alone,d4d0RJ0Y00j
p34i,20,p034i018,,,INTEGER,,,Not living alone,d4d0RJ0Y00k
p34i,21,p034i019,,,INTEGER,,,Nonrelatives,d4d0RJ0Y00l
p34i,22,p034i020,,,INTEGER,,,In group quarters:,d4d0RJ0Y00m
p34i,23,p034i021,,,INTEGER,,,Institutionalized population,d4d0RJ0Y00n
p34i,24,p034i022,,,INTEGER,,,Noninstitutionalized population,d4d0RJ0Y00o
,,,,,,,,,
p35,1,id,1,,INTEGER64,,6,,d4d0RJ0Z001
p35,2,geoid,,,VARCHAR,1,,,d4d0RJ0Z002
p35,3,p0350001,,,INTEGER,,,Total,d4d0RJ0Z003
,,,,,,,,,
p35a,1,id,1,,INTEGER64,,6,,d4d0RJ10001
p35a,2,geoid,,,VARCHAR,1,,,d4d0RJ10002
p35a,3,p035a001,,,INTEGER,,,Total,d4d0RJ10003
,,,,,,,,,
p35b,1,id,1,,INTEGER64,,6,,d4d0RJ11001
p35b,2,geoid,,,VARCHAR,1,,,d4d0RJ11002
p35b,3,p035b001,,,INTEGER,,,Total,d4d0RJ11003
,,,,,,,,,
p35c,1,id,1,,INTEGER64,,6,,d4d0RJ12001
p35c,2,geoid,,,VARCHAR,1,,,d4d0RJ12002
p35c,3,p035c001,,,INTEGER,,,Total,d4d0RJ12003
,,,,,,,,,
p35d,1,id,1,,INTEGER64,,6,,d4d0RJ13001
p35d,2,geoid,,,VARCHAR,1,,,d4d0RJ13002
p35d,3,p035d001,,,INTEGER,,,Total,d4d0RJ13003
,,,,,,,,,
p35e,1,id,1,,INTEGER64,,6,,d4d0RJ14001
p35e,2,geoid,,,VARCHAR,1,,,d4d0RJ14002
p35e,3,p035e001,,,INTEGER,,,Total,d4d0RJ14003
,,,,,,,,,
p35f,1,id,1,,INTEGER64,,6,,d4d0RJ15001
p35f,2,geoid,,,VARCHAR,1,,,d4d0RJ15002
p35f,3,p035f001,,,INTEGER,,,Total,d4d0RJ15003
,,,,,,,,,
p35g,1,id,1,,INTEGER64,,6,,d4d0RJ16001
p35g,2,geoid,,,VARCHAR,1,,,d4d0RJ16002
p35g,3,p035g001,,,INTEGER,,,Total,d4d0RJ16003
,,,,,,,,,
p35h,1,id,1,,INTEGER64,,6,,d4d0RJ17001
p35h,2,geoid,,,VARCHAR,1,,,d4d0RJ17002
p35h,3,p035h001,,,INTEGER,,,Total,d4d0RJ17003
,,,,,,,,,
p35i,1,id,1,,INTEGER64,,6,,d4d0RJ18001
p35i,2,geoid,,,VARCHAR,1,,,d4d0RJ18002
p35i,3,p035i001,,,INTEGER,,,Total,d4d0RJ18003
,,,,,,,,,
p36,1,id,1,,INTEGER64,,6,,d4d0RJ19001
p36,2,geoid,,,VARCHAR,1,,,d4d0RJ19002
p36,3,p0360001,,,INTEGER,,,Total:,d4d0RJ19003
p36,4,p0360002,,,INTEGER,,,Under 18 years,d4d0RJ19004
p36,5,p0360003,,,INTEGER,,,18 years and over,d4d0RJ19005
,,,,,,,,,
p36a,1,id,1,,INTEGER64,,6,,d4d0RJ1a001
p36a,2,geoid,,,VARCHAR,1,,,d4d0RJ1a002
p36a,3,p036a001,,,INTEGER,,,Total:,d4d0RJ1a003
p36a,4,p036a002,,,INTEGER,,,Under 18 years,d4d0RJ1a004
p36a,5,p036a003,,,INTEGER,,,18 years and over,d4d0RJ1a005
,,,,,,,,,
p36b,1,id,1,,INTEGER64,,6,,d4d0RJ1b001
p36b,2,geoid,,,VARCHAR,1,,,d4d0RJ1b002
p36b,3,p036b001,,,INTEGER,,,Total:,d4d0RJ1b003
p36b,4,p036b002,,,INTEGER,,,Under 18 years,d4d0RJ1b004
p36b,5,p036b003,,,INTEGER,,,18 years and over,d4d0RJ1b005
,,,,,,,,,
p36c,1,id,1,,INTEGER64,,6,,d4d0RJ1c001
p36c,2,geoid,,,VARCHAR,1,,,d4d0RJ1c002
p36c,3,p036c001,,,INTEGER,,,Total:,d4d0RJ1c003
p36c,4,p036c002,,,INTEGER,,,Under 18 years,d4d0RJ1c004
p36c,5,p036c003,,,INTEGER,,,18 years and over,d4d0RJ1c005
,,,,,,,,,
p36d,1,id,1,,INTEGER64,,6,,d4d0RJ1d001
p36d,2,geoid,,,VARCHAR,1,,,d4d0RJ1d002
p36d,3,p036d001,,,INTEGER,,,Total:,d4d0RJ1d003
p36d,4,p036d002,,,INTEGER,,,Under 18 years,d4d0RJ1d004
p36d,5,p036d003,,,INTEGER,,,18 years and over,d4d0RJ1d005
,,,,,,,,,
p36e,1,id,1,,INTEGER64,,6,,d4d0RJ1e001
p36e,2,geoid,,,VARCHAR,1,,,d4d0RJ1e002
p36e,3,p036e001,,,INTEGER,,,Total:,d4d0RJ1e003
p36e,4,p036e002,,,INTEGER,,,Under 18 years,d4d0RJ1e004
p36e,5,p036e003,,,INTEGER,,,18 years and over,d4d0RJ1e005
,,,,,,,,,
p36f,1,id,1,,INTEGER64,,6,,d4d0RJ1f001
p36f,2,geoid,,,VARCHAR,1,,,d4d0RJ1f002
p36f,3,p036f001,,,INTEGER,,,Total:,d4d0RJ1f003
p36f,4,p036f002,,,INTEGER,,,Under 18 years,d4d0RJ1f004
p36f,5,p036f003,,,INTEGER,,,18 years and over,d4d0RJ1f005
,,,,,,,,,
p36g,1,id,1,,INTEGER64,,6,,d4d0RJ1g001
p36g,2,geoid,,,VARCHAR,1,,,d4d0RJ1g002
p36g,3,p036g001,,,INTEGER,,,Total:,d4d0RJ1g003
p36g,4,p036g002,,,INTEGER,,,Under 18 years,d4d0RJ1g004
p36g,5,p036g003,,,INTEGER,,,18 years and over,d4d0RJ1g005
,,,,,,,,,
p36h,1,id,1,,INTEGER64,,6,,d4d0RJ1h001
p36h,2,geoid,,,VARCHAR,1,,,d4d0RJ1h002
p36h,3,p036h001,,,INTEGER,,,Total:,d4d0RJ1h003
p36h,4,p036h002,,,INTEGER,,,Under 18 years,d4d0RJ1h004
p36h,5,p036h003,,,INTEGER,,,18 years and over,d4d0RJ1h005
,,,,,,,,,
p36i,1,id,1,,INTEGER64,,6,,d4d0RJ1i001
p36i,2,geoid,,,VARCHAR,1,,,d4d0RJ1i002
p36i,3,p036i001,,,INTEGER,,,Total:,d4d0RJ1i003
p36i,4,p036i002,,,INTEGER,,,Under 18 years,d4d0RJ1i004
p36i,5,p036i003,,,INTEGER,,,18 years and over,d4d0RJ1i005
,,,,,,,,,
p37,1,id,1,,INTEGER64,,6,,d4d0RJ1j001
p37,2,geoid,,,VARCHAR,1,,,d4d0RJ1j002
p37,3,p0370001,,,REAL,,,Total:,d4d0RJ1j003
p37,4,p0370002,,,REAL,,,Under 18 years,d4d0RJ1j004
p37,5,p0370003,,,REAL,,,18 years and over,d4d0RJ1j005
,,,,,,,,,
p37a,1,id,1,,INTEGER64,,6,,d4d0RJ1k001
p37a,2,geoid,,,VARCHAR,1,,,d4d0RJ1k002
p37a,3,p037a001,,,REAL,,,Total:,d4d0RJ1k003
p37a,4,p037a002,,,REAL,,,Under 18 years,d4d0RJ1k004
p37a,5,p037a003,,,REAL,,,18 years and over,d4d0RJ1k005
,,,,,,,,,
p37b,1,id,1,,INTEGER64,,6,,d4d0RJ1l001
p37b,2,geoid,,,VARCHAR,1,,,d4d0RJ1l002
p37b,3,p037b001,,,REAL,,,Total:,d4d0RJ1l003
p37b,4,p037b002,,,REAL,,,Under 18 years,d4d0RJ1l004
p37b,5,p037b003,,,REAL,,,18 years and over,d4d0RJ1l005
,,,,,,,,,
p37c,1,id,1,,INTEGER64,,6,,d4d0RJ1m001
p37c,2,geoid,,,VARCHAR,1,,,d4d0RJ1m002
p37c,3,p037c001,,,REAL,,,Total:,d4d0RJ1m003
p37c,4,p037c002,,,REAL,,,Under 18 years,d4d0RJ1m004
p37c,5,p037c003,,,REAL,,,18 years and over,d4d0RJ1m005
,,,,,,,,,
p37d,1,id,1,,INTEGER64,,6,,d4d0RJ1n001
p37d,2,geoid,,,VARCHAR,1,,,d4d0RJ1n002
p37d,3,p037d001,,,REAL,,,Total:,d4d0RJ1n003
p37d,4,p037d002,,,REAL,,,Under 18 years,d4d0RJ1n004
p37d,5,p037d003,,,REAL,,,18 years and over,d4d0RJ1n005
,,,,,,,,,
p37e,1,id,1,,INTEGER64,,6,,d4d0RJ1o001
p37e,2,geoid,,,VARCHAR,1,,,d4d0RJ1o002
p37e,3,p037e001,,,REAL,,,Total:,d4d0RJ1o003
p37e,4,p037e002,,,REAL,,,Under 18 years,d4d0RJ1o004
p37e,5,p037e003,,,REAL,,,18 years and over,d4d0RJ1o005
,,,,,,,,,
p37f,1,id,1,,INTEGER64,,6,,d4d0RJ1p001
p37f,2,geoid,,,VARCHAR,1,,,d4d0RJ1p002
p37f,3,p037f001,,,REAL,,,Total:,d4d0RJ1p003
p37f,4,p037f002,,,REAL,,,Under 18 years,d4d0RJ1p004
p37f,5,p037f003,,,REAL,,,18 years and over,d4d0RJ1p005
,,,,,,,,,
p37g,1,id,1,,INTEGER64,,6,,d4d0RJ1q001
p37g,2,geoid,,,VARCHAR,1,,,d4d0RJ1q002
p37g,3,p037g001,,,REAL,,,Total:,d4d0RJ1q003
p37g,4,p037g002,,,REAL,,,Under 18 years,d4d0RJ1q004
p37g,5,p037g003,,,REAL,,,18 years and over,d4d0RJ1q005
,,,,,,,,,
p37h,1,id,1,,INTEGER64,,6,,d4d0RJ1r001
p37h,2,geoid,,,VARCHAR,1,,,d4d0RJ1r002
p37h,3,p037h001,,,REAL,,,Total:,d4d0RJ1r003
p37h,4,p037h002,,,REAL,,,Under 18 years,d4d0RJ1r004
p37h,5,p037h003,,,REAL,,,18 years and over,d4d0RJ1r005
,,,,,,,,,
p37i,1,id,1,,INTEGER64,,6,,d4d0RJ1s001
p37i,2,geoid,,,VARCHAR,1,,,d4d0RJ1s002
p37i,3,p037i001,,,REAL,,,Total:,d4d0RJ1s003
p37i,4,p037i002,,,REAL,,,Under 18 years,d4d0RJ1s004
p37i,5,p037i003,,,REAL,,,18 years and over,d4d0RJ1s005
,,,,,,,,,
p38,1,id,1,,INTEGER64,,6,,d4d0RJ1t001
p38,2,geoid,,,VARCHAR,1,,,d4d0RJ1t002
p38,3,p0380001,,,INTEGER,,,Total:,d4d0RJ1t003
p38,4,p0380002,,,INTEGER,,,Husband-wife family:,d4d0RJ1t004
p38,5,p0380003,,,INTEGER,,,With own children under 18 years:,d4d0RJ1t005
p38,6,p0380004,,,INTEGER,,,Under 6 years only,d4d0RJ1t006
p38,7,p0380005,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1t007
p38,8,p0380006,,,INTEGER,,,6 to 17 years only,d4d0RJ1t008
p38,9,p0380007,,,INTEGER,,,No own children under 18 years,d4d0RJ1t009
p38,10,p0380008,,,INTEGER,,,Other family:,d4d0RJ1t00a
p38,11,p0380009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ1t00b
p38,12,p0380010,,,INTEGER,,,With own children under 18 years:,d4d0RJ1t00c
p38,13,p0380011,,,INTEGER,,,Under 6 years only,d4d0RJ1t00d
p38,14,p0380012,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1t00e
p38,15,p0380013,,,INTEGER,,,6 to 17 years only,d4d0RJ1t00f
p38,16,p0380014,,,INTEGER,,,No own children under 18 years,d4d0RJ1t00g
p38,17,p0380015,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ1t00h
p38,18,p0380016,,,INTEGER,,,With own children under 18 years:,d4d0RJ1t00i
p38,19,p0380017,,,INTEGER,,,Under 6 years only,d4d0RJ1t00j
p38,20,p0380018,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1t00k
p38,21,p0380019,,,INTEGER,,,6 to 17 years only,d4d0RJ1t00l
p38,22,p0380020,,,INTEGER,,,No own children under 18 years,d4d0RJ1t00m
,,,,,,,,,
p38a,1,id,1,,INTEGER64,,6,,d4d0RJ1u001
p38a,2,geoid,,,VARCHAR,1,,,d4d0RJ1u002
p38a,3,p038a001,,,INTEGER,,,Total:,d4d0RJ1u003
p38a,4,p038a002,,,INTEGER,,,Husband-wife family:,d4d0RJ1u004
p38a,5,p038a003,,,INTEGER,,,With own children under 18 years:,d4d0RJ1u005
p38a,6,p038a004,,,INTEGER,,,Under 6 years only,d4d0RJ1u006
p38a,7,p038a005,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1u007
p38a,8,p038a006,,,INTEGER,,,6 to 17 years only,d4d0RJ1u008
p38a,9,p038a007,,,INTEGER,,,No own children under 18 years,d4d0RJ1u009
p38a,10,p038a008,,,INTEGER,,,Other family:,d4d0RJ1u00a
p38a,11,p038a009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ1u00b
p38a,12,p038a010,,,INTEGER,,,With own children under 18 years:,d4d0RJ1u00c
p38a,13,p038a011,,,INTEGER,,,Under 6 years only,d4d0RJ1u00d
p38a,14,p038a012,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1u00e
p38a,15,p038a013,,,INTEGER,,,6 to 17 years only,d4d0RJ1u00f
p38a,16,p038a014,,,INTEGER,,,No own children under 18 years,d4d0RJ1u00g
p38a,17,p038a015,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ1u00h
p38a,18,p038a016,,,INTEGER,,,With own children under 18 years:,d4d0RJ1u00i
p38a,19,p038a017,,,INTEGER,,,Under 6 years only,d4d0RJ1u00j
p38a,20,p038a018,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1u00k
p38a,21,p038a019,,,INTEGER,,,6 to 17 years only,d4d0RJ1u00l
p38a,22,p038a020,,,INTEGER,,,No own children under 18 years,d4d0RJ1u00m
,,,,,,,,,
p38b,1,id,1,,INTEGER64,,6,,d4d0RJ1v001
p38b,2,geoid,,,VARCHAR,1,,,d4d0RJ1v002
p38b,3,p038b001,,,INTEGER,,,Total:,d4d0RJ1v003
p38b,4,p038b002,,,INTEGER,,,Husband-wife family:,d4d0RJ1v004
p38b,5,p038b003,,,INTEGER,,,With own children under 18 years:,d4d0RJ1v005
p38b,6,p038b004,,,INTEGER,,,Under 6 years only,d4d0RJ1v006
p38b,7,p038b005,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1v007
p38b,8,p038b006,,,INTEGER,,,6 to 17 years only,d4d0RJ1v008
p38b,9,p038b007,,,INTEGER,,,No own children under 18 years,d4d0RJ1v009
p38b,10,p038b008,,,INTEGER,,,Other family:,d4d0RJ1v00a
p38b,11,p038b009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ1v00b
p38b,12,p038b010,,,INTEGER,,,With own children under 18 years:,d4d0RJ1v00c
p38b,13,p038b011,,,INTEGER,,,Under 6 years only,d4d0RJ1v00d
p38b,14,p038b012,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1v00e
p38b,15,p038b013,,,INTEGER,,,6 to 17 years only,d4d0RJ1v00f
p38b,16,p038b014,,,INTEGER,,,No own children under 18 years,d4d0RJ1v00g
p38b,17,p038b015,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ1v00h
p38b,18,p038b016,,,INTEGER,,,With own children under 18 years:,d4d0RJ1v00i
p38b,19,p038b017,,,INTEGER,,,Under 6 years only,d4d0RJ1v00j
p38b,20,p038b018,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1v00k
p38b,21,p038b019,,,INTEGER,,,6 to 17 years only,d4d0RJ1v00l
p38b,22,p038b020,,,INTEGER,,,No own children under 18 years,d4d0RJ1v00m
,,,,,,,,,
p38c,1,id,1,,INTEGER64,,6,,d4d0RJ1w001
p38c,2,geoid,,,VARCHAR,1,,,d4d0RJ1w002
p38c,3,p038c001,,,INTEGER,,,Total:,d4d0RJ1w003
p38c,4,p038c002,,,INTEGER,,,Husband-wife family:,d4d0RJ1w004
p38c,5,p038c003,,,INTEGER,,,With own children under 18 years:,d4d0RJ1w005
p38c,6,p038c004,,,INTEGER,,,Under 6 years only,d4d0RJ1w006
p38c,7,p038c005,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1w007
p38c,8,p038c006,,,INTEGER,,,6 to 17 years only,d4d0RJ1w008
p38c,9,p038c007,,,INTEGER,,,No own children under 18 years,d4d0RJ1w009
p38c,10,p038c008,,,INTEGER,,,Other family:,d4d0RJ1w00a
p38c,11,p038c009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ1w00b
p38c,12,p038c010,,,INTEGER,,,With own children under 18 years:,d4d0RJ1w00c
p38c,13,p038c011,,,INTEGER,,,Under 6 years only,d4d0RJ1w00d
p38c,14,p038c012,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1w00e
p38c,15,p038c013,,,INTEGER,,,6 to 17 years only,d4d0RJ1w00f
p38c,16,p038c014,,,INTEGER,,,No own children under 18 years,d4d0RJ1w00g
p38c,17,p038c015,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ1w00h
p38c,18,p038c016,,,INTEGER,,,With own children under 18 years:,d4d0RJ1w00i
p38c,19,p038c017,,,INTEGER,,,Under 6 years only,d4d0RJ1w00j
p38c,20,p038c018,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1w00k
p38c,21,p038c019,,,INTEGER,,,6 to 17 years only,d4d0RJ1w00l
p38c,22,p038c020,,,INTEGER,,,No own children under 18 years,d4d0RJ1w00m
,,,,,,,,,
p38d,1,id,1,,INTEGER64,,6,,d4d0RJ1x001
p38d,2,geoid,,,VARCHAR,1,,,d4d0RJ1x002
p38d,3,p038d001,,,INTEGER,,,Total:,d4d0RJ1x003
p38d,4,p038d002,,,INTEGER,,,Husband-wife family:,d4d0RJ1x004
p38d,5,p038d003,,,INTEGER,,,With own children under 18 years:,d4d0RJ1x005
p38d,6,p038d004,,,INTEGER,,,Under 6 years only,d4d0RJ1x006
p38d,7,p038d005,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1x007
p38d,8,p038d006,,,INTEGER,,,6 to 17 years only,d4d0RJ1x008
p38d,9,p038d007,,,INTEGER,,,No own children under 18 years,d4d0RJ1x009
p38d,10,p038d008,,,INTEGER,,,Other family:,d4d0RJ1x00a
p38d,11,p038d009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ1x00b
p38d,12,p038d010,,,INTEGER,,,With own children under 18 years:,d4d0RJ1x00c
p38d,13,p038d011,,,INTEGER,,,Under 6 years only,d4d0RJ1x00d
p38d,14,p038d012,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1x00e
p38d,15,p038d013,,,INTEGER,,,6 to 17 years only,d4d0RJ1x00f
p38d,16,p038d014,,,INTEGER,,,No own children under 18 years,d4d0RJ1x00g
p38d,17,p038d015,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ1x00h
p38d,18,p038d016,,,INTEGER,,,With own children under 18 years:,d4d0RJ1x00i
p38d,19,p038d017,,,INTEGER,,,Under 6 years only,d4d0RJ1x00j
p38d,20,p038d018,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1x00k
p38d,21,p038d019,,,INTEGER,,,6 to 17 years only,d4d0RJ1x00l
p38d,22,p038d020,,,INTEGER,,,No own children under 18 years,d4d0RJ1x00m
,,,,,,,,,
p38e,1,id,1,,INTEGER64,,6,,d4d0RJ1y001
p38e,2,geoid,,,VARCHAR,1,,,d4d0RJ1y002
p38e,3,p038e001,,,INTEGER,,,Total:,d4d0RJ1y003
p38e,4,p038e002,,,INTEGER,,,Husband-wife family:,d4d0RJ1y004
p38e,5,p038e003,,,INTEGER,,,With own children under 18 years:,d4d0RJ1y005
p38e,6,p038e004,,,INTEGER,,,Under 6 years only,d4d0RJ1y006
p38e,7,p038e005,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1y007
p38e,8,p038e006,,,INTEGER,,,6 to 17 years only,d4d0RJ1y008
p38e,9,p038e007,,,INTEGER,,,No own children under 18 years,d4d0RJ1y009
p38e,10,p038e008,,,INTEGER,,,Other family:,d4d0RJ1y00a
p38e,11,p038e009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ1y00b
p38e,12,p038e010,,,INTEGER,,,With own children under 18 years:,d4d0RJ1y00c
p38e,13,p038e011,,,INTEGER,,,Under 6 years only,d4d0RJ1y00d
p38e,14,p038e012,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1y00e
p38e,15,p038e013,,,INTEGER,,,6 to 17 years only,d4d0RJ1y00f
p38e,16,p038e014,,,INTEGER,,,No own children under 18 years,d4d0RJ1y00g
p38e,17,p038e015,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ1y00h
p38e,18,p038e016,,,INTEGER,,,With own children under 18 years:,d4d0RJ1y00i
p38e,19,p038e017,,,INTEGER,,,Under 6 years only,d4d0RJ1y00j
p38e,20,p038e018,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1y00k
p38e,21,p038e019,,,INTEGER,,,6 to 17 years only,d4d0RJ1y00l
p38e,22,p038e020,,,INTEGER,,,No own children under 18 years,d4d0RJ1y00m
,,,,,,,,,
p39,1,id,1,,INTEGER64,,6,,d4d0RJ1z001
p39,2,geoid,,,VARCHAR,1,,,d4d0RJ1z002
p39,3,p0390001,,,INTEGER,,,Total:,d4d0RJ1z003
p39,4,p0390002,,,INTEGER,,,Husband-wife family:,d4d0RJ1z004
p39,5,p0390003,,,INTEGER,,,With related children under 18 years:,d4d0RJ1z005
p39,6,p0390004,,,INTEGER,,,Under 6 years only,d4d0RJ1z006
p39,7,p0390005,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1z007
p39,8,p0390006,,,INTEGER,,,6 to 17 years only,d4d0RJ1z008
p39,9,p0390007,,,INTEGER,,,No related children under 18 years,d4d0RJ1z009
p39,10,p0390008,,,INTEGER,,,Other family:,d4d0RJ1z00a
p39,11,p0390009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ1z00b
p39,12,p0390010,,,INTEGER,,,With related children under 18 years:,d4d0RJ1z00c
p39,13,p0390011,,,INTEGER,,,Under 6 years only,d4d0RJ1z00d
p39,14,p0390012,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1z00e
p39,15,p0390013,,,INTEGER,,,6 to 17 years only,d4d0RJ1z00f
p39,16,p0390014,,,INTEGER,,,No related children under 18 years,d4d0RJ1z00g
p39,17,p0390015,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ1z00h
p39,18,p0390016,,,INTEGER,,,With related children under 18 years:,d4d0RJ1z00i
p39,19,p0390017,,,INTEGER,,,Under 6 years only,d4d0RJ1z00j
p39,20,p0390018,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ1z00k
p39,21,p0390019,,,INTEGER,,,6 to 17 years only,d4d0RJ1z00l
p39,22,p0390020,,,INTEGER,,,No related children under 18 years,d4d0RJ1z00m
,,,,,,,,,
p4,1,id,1,,INTEGER64,,6,,d4d0RJ1A001
p4,2,geoid,,,VARCHAR,1,,,d4d0RJ1A002
p4,3,p0040001,,,INTEGER,,,Total:,d4d0RJ1A003
p4,4,p0040002,,,INTEGER,,,Not Hispanic or Latino,d4d0RJ1A004
p4,5,p0040003,,,INTEGER,,,Hispanic or Latino,d4d0RJ1A005
,,,,,,,,,
p40,1,id,1,,INTEGER64,,6,,d4d0RJ1B001
p40,2,geoid,,,VARCHAR,1,,,d4d0RJ1B002
p40,3,p0400001,,,INTEGER,,,Total:,d4d0RJ1B003
p40,4,p0400002,,,INTEGER,,,In husband-wife families:,d4d0RJ1B004
p40,5,p0400003,,,INTEGER,,,Under 3 years,d4d0RJ1B005
p40,6,p0400004,,,INTEGER,,,3 and 4 years,d4d0RJ1B006
p40,7,p0400005,,,INTEGER,,,5 years,d4d0RJ1B007
p40,8,p0400006,,,INTEGER,,,6 to 11 years,d4d0RJ1B008
